Name,Gender,Section,State
a,m,1,Indiana
b,m,2,Alaska
c,f,3,Arkansas
d,f,2,North Dakota
e,f,3,Pennsylvania
f,f,2,Utah
g,m,3,South Dakota
h,f,2,Georgia
i,m,2,Alabama
k,f,4,Massachusetts
l,m,3,North Dakota
m,f,4,Tennessee
n,m,3,North Carolina
o,x,3,Alaska
p,m,2,Wisconsin
q,f,1,Virginia
r,m,1,Nebraska
s,f,4,Indiana
t,f,3,North Dakota
u,f,3,Texas
v,f,3,Hawaii
w,m,3,Idaho
x,f,2,Connecticut
y,f,1,Colorado
z,x,1,Wisconsin
j',f,2,Rhode Island
m(,f,2,South Carolina
q!,m,4,California
j!,m,3,Kansas
h*,m,4,Wyoming
r',f,4,Louisiana
y#,f,3,Vermont
"k""",m,1,West Virginia
a),m,1,Oklahoma
m!,m,4,Pennsylvania
a%,m,2,Pennsylvania
r-,f,1,Vermont
h',m,4,South Dakota
i.,f,3,West Virginia
z),m,3,Indiana
s!,f,4,Indiana
a/,f,2,California
g/,f,2,Nevada
u$,f,1,Georgia
r),f,1,Missouri
x.,m,4,Kansas
y+,f,2,New Jersey
v-,f,1,Florida
k*,m,1,Massachusetts
h(,f,3,Illinois
l#,f,4,California
u+,f,1,West Virginia
g.,f,3,Tennessee
u-,f,4,Kansas
"l,",f,1,New York
y+,m,3,Oregon
d/,f,3,Utah
e-,m,1,Alabama
"c""",f,1,North Dakota
t%,m,3,West Virginia
"e,",f,2,Alaska
x),f,2,Rhode Island
l',f,4,Minnesota
q#,m,2,Arizona
r/,f,4,Virginia
g/,f,1,Alaska
q.,f,4,California
v%,f,4,Alaska
n+,m,1,Indiana
h&,f,2,New Jersey
y%,m,1,Nebraska
c*,f,1,Tennessee
a+,m,1,Ohio
u!,f,3,New Jersey
p$,m,3,Arizona
"f,",f,2,Connecticut
y%,f,2,Idaho
"v,",m,3,Washington
s%,f,2,Kentucky
"t""",m,3,Alaska
o-,f,3,Arizona
a',m,4,Indiana
"e,",f,4,West Virginia
f-,f,2,Vermont
l%,f,1,Iowa
j.,m,4,Nevada
c/,f,4,Michigan
"j""",m,4,New Jersey
"e""",m,1,Mississippi
t),f,4,Nevada
r&,f,1,Virginia
"j,",m,1,Oklahoma
y#,m,2,North Dakota
s',f,1,Oregon
j/,m,2,Pennsylvania
r',m,2,Montana
p-,f,2,Mississippi
l*,f,1,Kansas
d#,f,4,North Carolina
k!,f,2,Montana
z$,m,1,Oregon
j.,m,3,Colorado
"q,",m,1,Delaware
"c,",m,1,Pennsylvania
"m,",m,3,Alabama
d!,m,4,West Virginia
u/,m,4,Connecticut
w$,m,3,Texas
b),f,3,Alabama
u%,f,4,North Dakota
"n,",f,2,Alabama
n),f,4,Wyoming
t',f,2,Montana
v),m,3,Montana
a),m,4,Indiana
u#,f,1,Mississippi
f.,f,3,Florida
o&,m,3,Oregon
i!,f,1,Pennsylvania
o*,f,1,Minnesota
"g""",f,3,North Dakota
e&,f,3,Arizona
h.,m,4,Illinois
"m""",f,1,Delaware
"h,",f,2,Kansas
j(,f,3,Massachusetts
j),f,4,Iowa
"b,",m,3,Arkansas
f#,m,3,Ohio
j/,f,4,Iowa
r+,m,4,Pennsylvania
